raceId,driverId,constructorId,grid,position,forename,surname,name,constructorName
18,1,1,1,1,Lewis,Hamilton,Autódromo José Carlos Pace,McLaren
18,5,1,3,5,Heikki,Kovalainen,Autódromo José Carlos Pace,McLaren
19,1,1,9,5,Lewis,Hamilton,Indianapolis Motor Speedway,McLaren
19,5,1,8,3,Heikki,Kovalainen,Indianapolis Motor Speedway,McLaren
20,1,1,3,13,Lewis,Hamilton,Nürburgring,McLaren
20,5,1,5,5,Heikki,Kovalainen,Nürburgring,McLaren
21,1,1,5,3,Lewis,Hamilton,Autodromo Enzo e Dino Ferrari,McLaren
21,5,1,6,\N,Heikki,Kovalainen,Autodromo Enzo e Dino Ferrari,McLaren
22,1,1,3,2,Lewis,Hamilton,Suzuka Circuit,McLaren
22,5,1,2,12,Heikki,Kovalainen,Suzuka Circuit,McLaren
24,1,1,1,\N,Lewis,Hamilton,Yas Marina Circuit,McLaren
24,5,1,7,9,Heikki,Kovalainen,Yas Marina Circuit,McLaren
25,1,1,13,10,Lewis,Hamilton,Autódromo Juan y Oscar Gálvez,McLaren
25,5,1,10,4,Heikki,Kovalainen,Autódromo Juan y Oscar Gálvez,McLaren
26,1,1,4,1,Lewis,Hamilton,Circuito de Jerez,McLaren
26,5,1,1,5,Heikki,Kovalainen,Circuito de Jerez,McLaren
27,1,1,1,1,Lewis,Hamilton,Autódromo do Estoril,McLaren
27,5,1,3,5,Heikki,Kovalainen,Autódromo do Estoril,McLaren
28,1,1,1,5,Lewis,Hamilton,Okayama International Circuit,McLaren
28,5,1,2,1,Heikki,Kovalainen,Okayama International Circuit,McLaren
29,1,1,2,2,Lewis,Hamilton,Adelaide Street Circuit,McLaren
29,5,1,5,4,Heikki,Kovalainen,Adelaide Street Circuit,McLaren
30,1,1,1,3,Lewis,Hamilton,Kyalami,McLaren
30,5,1,3,10,Heikki,Kovalainen,Kyalami,McLaren
31,1,1,15,7,Lewis,Hamilton,Donington Park,McLaren
31,5,1,2,2,Heikki,Kovalainen,Donington Park,McLaren
32,1,1,2,3,Lewis,Hamilton,Autódromo Hermanos Rodríguez,McLaren
32,5,1,5,10,Heikki,Kovalainen,Autódromo Hermanos Rodríguez,McLaren
33,1,1,1,12,Lewis,Hamilton,Phoenix street circuit,McLaren
33,5,1,3,\N,Heikki,Kovalainen,Phoenix street circuit,McLaren
34,1,1,1,1,Lewis,Hamilton,Circuit Paul Ricard,McLaren
34,5,1,5,\N,Heikki,Kovalainen,Circuit Paul Ricard,McLaren
35,1,1,4,5,Lewis,Hamilton,Korean International Circuit,McLaren
35,5,1,5,7,Heikki,Kovalainen,Korean International Circuit,McLaren
36,1,1,4,3,Lewis,Hamilton,Autódromo Internacional Nelson Piquet,McLaren
36,4,1,2,2,Fernando,Alonso,Autódromo Internacional Nelson Piquet,McLaren
37,1,1,4,2,Lewis,Hamilton,Detroit Street Circuit,McLaren
37,4,1,2,1,Fernando,Alonso,Detroit Street Circuit,McLaren
38,1,1,2,2,Lewis,Hamilton,Brands Hatch,McLaren
38,4,1,4,5,Fernando,Alonso,Brands Hatch,McLaren
39,1,1,4,2,Lewis,Hamilton,Circuit Park Zandvoort,McLaren
39,4,1,2,3,Fernando,Alonso,Circuit Park Zandvoort,McLaren
40,1,1,2,2,Lewis,Hamilton,Zolder,McLaren
40,4,1,1,1,Fernando,Alonso,Zolder,McLaren
41,1,1,1,1,Lewis,Hamilton,Dijon-Prenois,McLaren
41,4,1,2,7,Fernando,Alonso,Dijon-Prenois,McLaren
42,1,1,1,1,Lewis,Hamilton,Fair Park,McLaren
42,4,1,2,2,Fernando,Alonso,Fair Park,McLaren
43,1,1,2,3,Lewis,Hamilton,Long Beach,McLaren
43,4,1,10,7,Fernando,Alonso,Long Beach,McLaren
44,1,1,1,3,Lewis,Hamilton,Las Vegas Street Circuit,McLaren
44,4,1,3,2,Fernando,Alonso,Las Vegas Street Circuit,McLaren
45,1,1,10,9,Lewis,Hamilton,Jarama,McLaren
45,4,1,2,1,Fernando,Alonso,Jarama,McLaren
46,1,1,1,1,Lewis,Hamilton,Watkins Glen,McLaren
46,4,1,6,4,Fernando,Alonso,Watkins Glen,McLaren
47,1,1,2,5,Lewis,Hamilton,Scandinavian Raceway,McLaren
47,4,1,4,3,Fernando,Alonso,Scandinavian Raceway,McLaren
48,1,1,2,2,Lewis,Hamilton,Mosport International Raceway,McLaren
48,4,1,1,1,Fernando,Alonso,Mosport International Raceway,McLaren
49,1,1,4,4,Lewis,Hamilton,Montjuïc,McLaren
49,4,1,3,3,Fernando,Alonso,Montjuïc,McLaren
